time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
241717,8216,1635,31.62,147,44.67506515000001,-15.374364965102252,241607,3.5769636631011963,0.001,,
241866,8220,1636,31.47,147,44.72931183000001,-15.248099327087402,241723,3.693503427505493,0.001,,
242002,8224,1637,31.63,147,45.096450540000006,-15.93836490313212,241861,3.516486088434855,0.001,,
242134,8228,1638,31.51,147,44.86725983,-16.066523869832356,241989,3.607766350110372,0.001,,
242244,8232,1638,31.39,147,44.75428126999999,-15.805653678046333,242121,3.970677011891415,0.001,,
242356,8236,1639,31.17,147,44.166578980000004,-16.24951974550883,242235,3.9592107582092284,0.001,,
242481,8240,1640,31.2,147,44.36579155999999,-15.992287415724535,242365,4.248662173748016,0.001,,
242602,8244,1641,30.92,147,44.13083694000001,-16.14271899632045,242481,5.650575974891925,0.001,,
242697,8248,1642,30.59,147,43.65315525999999,-15.697468317472017,242586,3.5903525352478027,0.001,,
242803,8252,1642,30.46,147,43.44921381,-15.258946350642614,242696,3.9028513343245894,0.001,,
242908,8256,1643,30.45,147,43.57105414000001,-15.573558489481607,242793,3.417252769470215,0.001,,
243069,8260,1644,30.78,147,44.276006970000005,-15.75924813747406,242945,5.477458306721279,0.001,,
243179,8264,1645,30.74,147,44.06802396000001,-15.961587025569035,243067,3.5065189688294023,0.001,,
243337,8268,1646,31.1,147,44.64089701999999,-16.57078141432542,243207,5.104221847322252,0.001,,
243473,8272,1647,31.2,147,44.87075517999999,-16.253992504543728,243348,8.34542484415902,0.001,,
243602,8276,1648,31.09,147,44.805314069999994,-15.447853175076572,243474,3.762284268032421,0.001,,
243704,8280,1648,30.88,147,44.322825679999994,-16.185398762042706,243598,3.720302228927612,0.001,,
243810,8284,1649,30.77,147,44.248937969999986,-15.725156784057617,243698,3.667502618971325,0.001,,
243937,8288,1650,30.94,147,44.402048380000004,-16.20568707410027,243814,4.02664906838361,0.001,,
244067,8292,1651,31.11,147,44.78316951,-15.659478108088175,243954,6.68132280309995,0.001,,
244175,8296,1651,31.05,147,44.4914532,-15.880897521972656,244050,4.066257794698079,0.001,,
244287,8300,1652,31.09,147,44.473583149999996,-16.370759183710273,244174,6.49732383814725,0.001,,
244423,8304,1653,31.01,147,44.53632185000001,-16.41616734214451,244317,8.00038428509489,0.001,,
244555,8308,1654,31.32,147,45.017900420000004,-15.826771062963148,244434,4.901781047091765,0.001,,
244672,8312,1655,30.92,147,44.22665739999999,-16.294995512281144,244552,12.660582025845846,0.001,,
244793,8316,1656,30.76,147,44.54974296,-15.770941781997681,244690,3.8065201747111783,0.001,,
244944,8320,1657,30.78,147,44.33535271000001,-16.29325124491816,244818,4.302340491612752,0.001,,
245000,,,,,,-15.888385512612082,244878,3.422054966290792,0.001,28.0,39.67197409383952
245071,8324,1658,30.69,147,44.09093193,-15.806426098472194,244955,3.243208952439137,0.001,,
