rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,eval/mean_reward,eval/mean_ep_length
,,,160000,,,745154.875,0.0003,0.2,-0.08254510285914876,0.8829308748245239,1605844.266015625,0.29814453125,780,-22.004861742258072,0.03391152,9.834766387939453e-06,62192.11200485229,1000.0
1000.0,69083.24326296,79,161792,1353,119,,,,,,,,,,,,,
1000.0,69112.50124714,80,163840,1358,120,555918.0,0.0003,0.2,-0.07449060069047846,0.8826315402984619,1392620.480859375,0.28515625,790,-21.99524723291397,0.032558218,1.7881393432617188e-07,,
,,,165000,,,593557.0,0.0003,0.2,-0.08188147027976811,0.881234884262085,1218695.5943359374,0.3232421875,800,-21.97364056110382,0.034874696,-2.5033950805664062e-06,67030.19058685303,1000.0
1000.0,69320.98594987999,81,165888,1392,119,,,,,,,,,,,,,
1000.0,69404.0177044,82,167936,1397,120,608427.125,0.0003,0.2,-0.06844982538023033,0.8807229399681091,1253090.7642578124,0.28349609375,810,-21.956789392232896,0.031520553,5.364418029785156e-07,,
1000.0,69708.97920748,83,169984,1402,121,600094.125,0.0003,0.2,-0.07779700035462156,0.8786394596099854,1229669.9533203125,0.29013671875,820,-21.93393760919571,0.032503553,-3.612041473388672e-05,,
,,,170000,,,781957.4375,0.0003,0.2,-0.07727119435730856,0.8783597350120544,1497109.408203125,0.292822265625,830,-21.91261532306671,0.03328732,8.940696716308594e-07,64917.04253368378,1000.0
1000.0,69892.07903778001,84,172032,1432,120,,,,,,,,,,,,,
1000.0,70091.19810729001,85,174080,1437,121,583738.375,0.0003,0.2,-0.07635769763728603,0.8765727281570435,1232464.384765625,0.310400390625,840,-21.887752294540405,0.03775381,2.384185791015625e-07,,
,,,175000,,,582753.8125,0.0003,0.2,-0.06709436915407423,0.8766747713088989,1234062.56328125,0.276416015625,850,-21.873588299751283,0.030514926,5.239248275756836e-05,64358.34414386749,1000.0
1000.0,70089.37017811999,86,176128,1469,119,,,,,,,,,,,,,
1000.0,69986.03933336001,87,178176,1474,120,613173.375,0.0003,0.2,-0.08486416254309007,0.8744218349456787,1167435.1126953126,0.340283203125,860,-21.849658250808716,0.039078258,9.5367431640625e-07,,
,,,180000,,,683558.3125,0.0003,0.2,-0.0636469257180579,0.8745494484901428,1291951.26015625,0.269677734375,870,-21.83513969182968,0.028960422,1.9073486328125e-06,64204.81037902832,1000.0
1000.0,70175.00010103,88,180224,1507,119,,,,,,,,,,,,,
1000.0,70283.5211443,89,182272,1512,120,571180.875,0.0003,0.2,-0.07115487941773609,0.8738499283790588,1254855.293359375,0.289501953125,880,-21.82580634355545,0.032541763,1.1920928955078125e-06,,
1000.0,70256.13001657999,90,184320,1517,121,679213.75,0.0003,0.2,-0.07933908216073178,0.8731809258460999,1306860.3953125,0.3162109375,890,-21.81210712790489,0.037439793,4.488229751586914e-05,,
,,,185000,,,582302.3125,0.0003,0.2,-0.07758681106206496,0.8722457885742188,1163039.023046875,0.3255859375,900,-21.79627275466919,0.035355292,3.1888484954833984e-05,68144.3299077034,1000.0
1000.0,70485.85592297,91,186368,1549,120,,,,,,,,,,,,,
1000.0,71012.29406881,92,188416,1553,121,707956.8125,0.0003,0.2,-0.0873916268843459,0.8714677691459656,1600657.0890625,0.336328125,910,-21.778371208906172,0.042289115,1.609325408935547e-05,,
,,,190000,,,894646.0,0.0003,0.2,-0.08375109282351331,0.8685597777366638,1674242.415625,0.32509765625,920,-21.73721440434456,0.036390785,0.0003127455711364746,64077.29754695892,1000.0
1000.0,71105.49684923,93,190464,1584,120,,,,,,,,,,,,,
1000.0,71237.20668074001,94,192512,1589,121,655481.5,0.0003,0.2,-0.0811144255072577,0.8700464963912964,1369622.668359375,0.3134765625,930,-21.731356066465377,0.039374247,0.00012117624282836914,,
1000.0,71218.49316045,95,194560,1594,122,623335.3125,0.0003,0.2,-0.07715946704847738,0.8697027564048767,1325320.3296875,0.319970703125,940,-21.73905129432678,0.03760356,-5.960464477539062e-07,,
,,,195000,,,559107.5,0.0003,0.2,-0.07079118383408059,0.8688833117485046,1290917.321484375,0.306787109375,950,-21.72342276573181,0.03641723,-4.76837158203125e-07,65573.85731849671,1000.0
1000.0,71255.55183382,96,196608,1624,120,,,,,,,,,,,,,
1000.0,71291.40122903,97,198656,1629,121,617044.0,0.0003,0.2,-0.07624594793305732,0.8659478425979614,1124425.771875,0.3244140625,960,-21.68770087361336,0.03941506,6.139278411865234e-06,,
,,,200000,,,561636.25,0.0003,0.2,-0.08641088112490251,0.8643134832382202,1187493.081640625,0.34375,970,-21.640468060970306,0.04233326,1.4543533325195312e-05,68015.84774188996,1000.0
1000.0,71229.57437653,98,200704,1660,120,,,,,,,,,,,,,
1000.0,71200.71892648,99,202752,1665,121,610764.875,0.0003,0.2,-0.06674534787307493,0.8637382984161377,1318920.961328125,0.277734375,980,-21.624918925762177,0.032764442,2.5093555450439453e-05,,
1000.0,71006.49558315,100,204800,1670,122,496672.78125,0.0003,0.2,-0.07999141823383979,0.8635201454162598,1041902.738671875,0.3609375,990,-21.61670075058937,0.050258044,-4.76837158203125e-07,,
,,,205000,,,645683.625,0.0003,0.2,-0.07727703509735875,0.8629992008209229,1297346.3044921875,0.320703125,1000,-21.60814666748047,0.042353958,3.0040740966796875e-05,71192.5702096939,1000.0
1000.0,71091.96567747,101,206848,1701,121,,,,,,,,,,,,,
1000.0,71266.48494665,102,208896,1706,122,686310.625,0.0003,0.2,-0.07296176205854862,0.862838864326477,1349202.357421875,0.312939453125,1010,-21.60080556869507,0.04022078,7.867813110351562e-06,,
,,,210000,,,670847.3125,0.0003,0.2,-0.07767909801914356,0.8612633943557739,1278625.3740234375,0.331494140625,1020,-21.580158191919327,0.040022507,3.5762786865234375e-07,75159.73187465667,1000.0
1000.0,71138.49229668002,103,210944,1738,121,,,,,,,,,,,,,
1000.0,71190.63207254001,104,212992,1742,122,607979.875,0.0003,0.2,-0.07645545797422529,0.8603848814964294,1285125.609765625,0.333740234375,1030,-21.56176950931549,0.039743334,1.5497207641601562e-06,,
,,,215000,,,898316.4375,0.0003,0.2,-0.08426751178922132,0.8590167164802551,1692234.78671875,0.334765625,1040,-21.536251646280288,0.04018604,3.159046173095703e-06,72694.46883401871,1000.0
1000.0,71265.84407090001,105,215040,1774,121,,,,,,,,,,,,,
1000.0,71120.69117108999,106,217088,1779,121,478069.71875,0.0003,0.2,-0.07587652578949929,0.8591621518135071,944965.180859375,0.34990234375,1050,-21.521969425678254,0.04418693,1.3053417205810547e-05,,
1000.0,71257.18112965,107,219136,1784,122,527511.75,0.0003,0.2,-0.08577172066725325,0.858661413192749,1016445.423828125,0.38046875,1060,-21.52385663986206,0.052344814,1.7881393432617188e-07,,
,,,220000,,,759639.9375,0.0003,0.2,-0.08282385168131441,0.8565510511398315,1444982.646484375,0.33359375,1070,-21.49308415055275,0.042108845,-5.841255187988281e-06,67549.24438152314,1000.0
1000.0,71398.10494610999,108,221184,1816,121,,,,,,,,,,,,,
1000.0,71270.91884342,109,223232,1820,122,576877.25,0.0003,0.2,-0.07147016471717507,0.8561239838600159,1198223.1505859375,0.31318359375,1080,-21.468327701091766,0.03633725,4.0531158447265625e-06,,
,,,225000,,,571217.875,0.0003,0.2,-0.08394065895699895,0.8545266389846802,1118384.18671875,0.37119140625,1090,-21.4448023378849,0.0457187,0.0001188516616821289,70057.65524406433,1000.0
1000.0,71363.84134643001,110,225280,1851,121,,,,,,,,,,,,,
1000.0,71266.42592592,111,227328,1856,122,640162.75,0.0003,0.2,-0.07616481962322723,0.8534314632415771,1282300.9421875,0.329833984375,1100,-21.417688542604445,0.04344348,1.1920928955078125e-07,,
1000.0,71379.09714475,112,229376,1861,123,598842.125,0.0003,0.2,-0.06748141488351393,0.8537662625312805,1247977.3748046875,0.3056640625,1110,-21.416891342401506,0.03758731,0.00016987323760986328,,
,,,230000,,,569973.0625,0.0003,0.2,-0.08142296061269008,0.8519111275672913,1222421.45703125,0.3580078125,1120,-21.393432849645613,0.0464904,-0.00010526180267333984,70046.02909479142,1000.0
1000.0,71113.64954834,113,231424,1891,122,,,,,,,,,,,,,
