eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/std,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/value_loss
50.0,113000,-9.333031367789953,,,,,,-0.007892023873864673,0.9287151172757149,0.19033203125,1.294533222168684,0.1251804679632187,550,0.051161423325538635,0.2,0.0003,0.018558834,0.14400991308502853
50.0,114000,-9.333031367789953,,,,,,,,,,,,,,,,
,114688,,56,285,401,50.0,-10.889727459999996,,,,,,,,,,,
50.0,115000,-9.28120944602415,,,,,,-0.0018481986975530163,0.9380223900079727,0.15791015625,1.3452390886843204,0.12202577292919159,560,0.04170734062790871,0.2,0.0003,0.014979243,0.08710805259179324
50.0,116000,-9.28120944602415,,,,,,,,,,,,,,,,
,116736,,57,285,408,50.0,-10.707274340000001,,,,,,,,,,,
50.0,117000,-9.270437501277774,,,,,,-0.004983209172496572,0.9405256621539593,0.18056640625,1.4021463237702847,0.11858879029750824,570,0.04523623734712601,0.2,0.0003,0.015208427,0.12624577219830826
50.0,118000,-9.270437501277774,,,,,,,,,,,,,,,,
,118784,,58,286,415,50.0,-10.09551598,,,,,,,,,,,
50.0,119000,-9.266191080026328,,,,,,-0.009152300137793645,0.9485762156546116,0.17939453125,1.4532691791653634,0.11554373800754547,580,0.0145527683198452,0.2,0.0003,0.017868558,0.10880425625946373
50.0,120000,-9.266191080026328,,,,,,,,,,,,,,,,
,120832,,59,285,422,50.0,-10.111329329999998,,,,,,,,,,,
50.0,121000,-9.298509902041406,,,,,,-0.0012234712790814227,0.9600302018225193,0.18544921875,1.5075227230787278,0.11246545612812042,590,0.004984438419342041,0.2,0.0003,0.014030882,0.07279708633432165
50.0,122000,-9.298509902041406,,,,,,,,,,,,,,,,
,122880,,60,285,429,50.0,-9.85717251,,,,,,,,,,,
50.0,123000,-9.372143083624541,,,,,,-0.005111806865897961,0.9592601135373116,0.164697265625,1.5599535077810287,0.1097494587302208,600,0.04803997278213501,0.2,0.0003,0.015004812,0.07075918966438621
50.0,124000,-9.372143083624541,,,,,,,,,,,,,,,,
,124928,,61,286,436,50.0,-9.8004127,,,,,,,,,,,
50.0,125000,-9.295796343404799,,,,,,-0.009184421596000903,0.9741830285638571,0.206103515625,1.6077675975859165,0.10722745954990387,610,0.021031027659773827,0.2,0.0003,0.018891405,0.06608874581288546
50.0,126000,-9.295796343404799,,,,,,,,,,,,,,,,
,126976,,62,285,444,50.0,-9.529330490000001,,,,,,,,,,,
50.0,127000,-9.140718073770405,,,,,,-0.008809275313979015,0.9671586230397224,0.1859375,1.665802724659443,0.10368248075246811,620,0.022457106038928032,0.2,0.0003,0.018453937,0.05970974185620435
50.0,128000,-9.140718073770405,,,,,,,,,,,,,,,,
50.0,129000,-9.140718073770405,,,,,,,,,,,,,,,,
,129024,,63,285,452,50.0,-9.49954861,,,,,,,,,,,
50.0,130000,-9.014775094110519,,,,,,-0.00601046587980818,0.9728508349508047,0.163818359375,1.7382341578602791,0.09982049465179443,630,0.02300134301185608,0.2,0.0003,0.013703588,0.06169967339374125
50.0,131000,-9.014775094110519,,,,,,,,,,,,,,,,
,131072,,64,285,459,50.0,-9.15456344,,,,,,,,,,,
50.0,132000,-8.92826420646161,,,,,,-0.003380513290176168,0.9726683553308249,0.21904296875,1.8082628577947617,0.09684543311595917,640,0.03026067093014717,0.2,0.0003,0.028164903,0.06001801125239581
50.0,133000,-8.92826420646161,,,,,,,,,,,,,,,,
,133120,,65,284,467,50.0,-8.96206858,,,,,,,,,,,
50.0,134000,-8.8460939751938,,,,,,-0.004154810807085596,0.9718154221773148,0.20400390625,1.8551493674516677,0.0946677029132843,650,0.01822722516953945,0.2,0.0003,0.01666364,0.06747033289866522
50.0,135000,-8.8460939751938,,,,,,,,,,,,,,,,
