time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
185000,,,,,,900,0.5376043617725372,0.33642578125,-0.04668273369316012,0.2,9.55880339294672,-2.6840241447091104,0.0003,0.03341893,0.33647990226745605,1.497856616973877,1000.0,884.6502766996622
186368,91,612,103.65014721000001,304,318.22,,,,,,,,,,,,,
188416,92,617,110.68502499000004,305,327.4,910,0.5650163292884827,0.456005859375,-0.04819617847097106,0.2,4.769772413372993,-2.5238691054284574,0.0003,0.06997162,0.32962101697921753,4.055273532867432,,
190000,,,,,,920,0.49886399507522583,0.475439453125,-0.0693074656825047,0.2,1.3399169016629457,-2.33229933232069,0.0003,0.06880122,0.3216940760612488,0.6233341097831726,1000.0,889.6728435963392
190464,93,631,119.65751811999999,301,331.87,,,,,,,,,,,,,
192512,94,636,125.85739336,302,341.17,930,0.0836523175239563,0.23876953125,-0.036697170880506745,0.2,22.061455731093883,-2.2606187760829926,0.0003,0.016398327,0.3208538889884949,6.6157426834106445,,
194560,95,640,134.9071907,303,351.62,940,0.03335970640182495,0.32216796875,-0.04246080873999745,0.2,11.070357796549796,-2.205861194431782,0.0003,0.033491388,0.31739312410354614,10.025768280029297,,
195000,,,,,,950,0.07848244905471802,0.315576171875,-0.03594985353993252,0.2,14.616321846842766,-2.1314324654638765,0.0003,0.024652697,0.3148990869522095,4.117007255554199,1000.0,894.6237290740013
196608,96,655,143.86488924000002,299,366.46,,,,,,,,,,,,,
198656,97,659,154.56497406,301,386.18,960,0.3074647784233093,0.3041015625,-0.03849093535682187,0.2,14.062983557209373,-2.054696373641491,0.0003,0.024776952,0.3115568161010742,1.2048381567001343,,
200000,,,,,,970,0.07722729444503784,0.267919921875,-0.04044218681228813,0.2,22.880716402828693,-1.9873898319900036,0.0003,0.01953978,0.3096872568130493,10.90706729888916,1000.0,896.0616916030646
200704,98,674,159.00600993,297,387.48,,,,,,,,,,,,,
202752,99,678,171.41102343999998,298,404.39,980,0.3119186758995056,0.46259765625,-0.04245909571473021,0.2,5.596014862693846,-1.862669264152646,0.0003,0.0668588,0.3031226396560669,0.473921537399292,,
204800,100,683,177.62619493999998,299,410.45,990,0.2559552788734436,0.376416015625,-0.035169482696801424,0.2,11.436902479827404,-1.7488301884382964,0.0003,0.032240033,0.299713671207428,5.641108512878418,,
205000,,,,,,1000,-0.11954760551452637,0.39443359375,-0.033193490462144835,0.2,13.812706069648266,-1.6524930834770202,0.0003,0.04216177,0.29637545347213745,2.5224924087524414,1000.0,899.2212246090173
206848,101,697,180.37128613999997,296,406.29,,,,,,,,,,,,,
208896,102,702,194.18198736000005,297,427.84,1010,0.3358238935470581,0.45791015625,-0.03816837537451647,0.2,7.079340769629925,-1.535420448333025,0.0003,0.06772585,0.2913983464241028,6.212716579437256,,
210000,,,,,,1020,0.13791388273239136,0.349609375,-0.03772601032978855,0.2,24.652379043772818,-1.4297206111252307,0.0003,0.030287063,0.28765276074409485,5.03671407699585,1000.0,910.0785473823547
210944,103,716,203.59441569999998,294,438.75,,,,,,,,,,,,,
