train/learning_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/n_updates,time/total_timesteps,train/actor_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,576,1000.0,855.13035627,4098,0.48670355185866354,558965,559965,-51.805775733947755,136,,
0.001,,,,,0.48501312616467473,559965,560000,-52.16109262084961,,1000.0,929.4684965023771
0.001,580,1000.0,856.42673719,4128,0.4581663444638252,562965,563965,-53.513844192504884,136,,
0.001,,,,,0.5894820796400309,564965,565000,-53.78472343444824,,1000.0,850.1686805566773
0.001,584,1000.0,849.08413671,4158,0.7546588506698608,566965,567965,-53.82857652282715,136,,
0.001,,,,,0.9934832319021225,569965,570000,-51.6039206161499,,1000.0,667.3727065494284
0.001,588,1000.0,829.3325974699999,4188,0.8891896672546864,570965,571965,-50.833201301574704,136,,
0.001,,,,,0.9320551099777221,574965,575000,-49.88029197692871,,1000.0,270.04604344521647
,592,1000.0,805.56086286,4218,,,575965,,136,,
0.001,596,1000.0,792.12424318,4240,0.8742322269678116,578965,579965,-49.39216130065918,136,,
0.001,,,,,0.8166792402565479,579965,580000,-49.79307933807373,,1000.0,744.7115585803986
0.001,600,1000.0,786.98050445,4271,0.7716832945942879,582965,583965,-49.56852713775635,136,,
0.001,,,,,0.695084910184145,584965,585000,-49.15209880828857,,1000.0,499.63600173741577
0.001,604,1000.0,771.45273728,4302,0.6174770604670048,586965,587965,-48.75653066253662,136,,
0.001,,,,,0.6211901399493217,589965,590000,-48.60126454162598,,1000.0,860.629947509151
0.001,608,1000.0,771.8565894600001,4332,0.7018712635934353,590965,591965,-48.49901268005371,136,,
0.001,,,,,0.9859650431871414,594965,595000,-47.699122528076174,,1000.0,821.7876244813203
,612,1000.0,769.64481458,4363,,,595965,,136,,
0.001,616,1000.0,767.84696646,4384,0.7796715970933438,598965,599965,-47.61062673950195,136,,
0.001,,,,,0.8158157541155815,599965,600000,-47.43578392028809,,1000.0,539.0975450799364
0.001,620,1000.0,760.3516793699997,4415,0.6102634279131889,602965,603965,-46.80835095214844,136,,
0.001,,,,,0.5544559292793274,604965,605000,-46.71688215637207,,1000.0,412.855183478212
0.001,624,1000.0,761.68841896,4444,0.5813842745870352,606965,607965,-46.93741483306885,136,,
0.001,,,,,0.569899200618267,609965,610000,-47.593270332336424,,1000.0,891.8535826295614
0.001,628,1000.0,762.5082281299999,4475,0.6017282557189465,610965,611965,-47.83993103790283,136,,
0.001,,,,,0.6971571228802204,614965,615000,-48.54262981414795,,1000.0,719.7804917503497
